date,open,high,low,close,volume,SMA_7,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,RSI_14,BB_middle,BB_upper,BB_lower,ATR_14
2025-07-28 05:30:00,3872.11,3941.0,3754.0,3799.0,620994.7463,,,,3799.0,3799.0,0.0,0.0,0.0,,,,,
2025-07-29 05:30:00,3799.0,3886.44,3716.04,3793.79,584210.4393,,,,3793.79,3793.79,0.0,0.0,0.0,,,,,
2025-07-30 05:30:00,3793.79,3834.03,3677.65,3810.0,525424.9003,,,,3796.2838461538463,3794.990740740741,1.2931054131054225,0.2586210826210845,1.034484330484338,,,,,
2025-07-31 05:30:00,3810.0,3878.67,3684.33,3698.39,516088.4503,,,,3781.22325443787,3787.8351303155005,-6.6118758776306095,-1.1154783094292542,-5.496397568201355,,,,,
2025-08-01 05:30:00,3698.39,3724.02,3431.75,3488.2,783869.1517,,,,3736.142753755121,3765.6399354773152,-29.497181722194455,-6.791818991982295,-22.70536273021216,,,,,
2025-08-02 05:30:00,3488.21,3537.69,3368.29,3393.94,494195.7094,,,,3683.496176254333,3738.1066069234403,-54.610430669107245,-16.355541327407288,-38.25488934169996,,,,,
2025-08-03 05:30:00,3393.94,3521.79,3354.28,3496.74,296347.6758,,,,3654.7644568305896,3720.2275990031853,-65.46314217259578,-26.177061496444985,-39.286080676150796,,,,,
2025-08-04 05:30:00,3496.75,3736.73,3490.73,3720.99,463349.9861,3628.8642857142854,,,3664.9530019335757,3720.284073151098,-55.331071217522094,-32.00786344066041,-23.323207776861686,,,,,
2025-08-05 05:30:00,3720.99,3722.24,3546.0,3612.0,489070.9589,3602.8942857142856,,,3656.806386251487,3712.263030695461,-55.456644443974255,-36.69761964132318,-18.759024802651076,,,,,
2025-08-06 05:30:00,3612.01,3698.6,3564.19,3683.31,365309.9205,3584.7957142857144,,,3660.88386528972,3710.1183617550564,-49.23449646533663,-39.20499500612587,-10.029501459210763,,,,,
2025-08-07 05:30:00,3683.31,3927.77,3647.63,3910.31,631678.9872,3615.0699999999997,,,3699.2571167836086,3724.9473719954226,-25.69025521181402,-36.5020470472635,10.811791835449483,,,,,
2025-08-08 05:30:00,3910.3,4071.0,3880.0,4009.5,723300.0109,3689.5414285714282,,,3746.986791124592,3746.025344440206,0.9614466843859191,-29.00934830093362,29.97079498531954,,,,,
2025-08-09 05:30:00,4009.51,4326.2,4006.63,4260.62,691932.1048,3813.3528571428574,,,3826.0072847977317,3784.143467074265,41.86381772346658,-14.834715096053582,56.69853281952017,,,,,
2025-08-10 05:30:00,4260.63,4332.6,4153.07,4250.57,494843.8105,3921.0428571428574,,,3891.3246255980803,3818.6935806243196,72.63104497376071,2.6584369179092757,69.97260805585144,,,,,
2025-08-11 05:30:00,4250.58,4366.46,4166.77,4223.22,722664.04,3992.79,,,3942.385452429145,3848.6585005780735,93.72695185107159,20.87213990454174,72.85481194652985,63.813990594018016,,,,205.49142857142854
2025-08-12 05:30:00,4223.22,4639.7,4219.04,4590.52,885288.0652,4132.578571428571,,,4042.098459747738,3903.6112042389573,138.4872555087809,44.39516302538957,94.09209248339133,70.73057768665146,,,,223.36714285714282
2025-08-13 05:30:00,4590.52,4783.85,4564.33,4749.3,925931.4988,4284.862857142857,,,4150.898696709624,3966.2548187397756,184.64387796984875,72.44490601428141,112.19897195556733,72.75215579885672,,,,227.87714285714284
